id,ad,education,yearsexp,firstname,high,low,call,female,black,college
b,1,4,3,Ebony,0,1,0,1,1,1
b,1,4,2,Jill,0,1,0,1,0,1
b,1,4,4,Kristen,1,0,0,1,0,1
b,1,4,4,Lakisha,1,0,0,1,1,1
b,1,4,4,Matthew,1,0,0,0,0,1
b,1,4,4,Tamika,1,0,0,1,1,1
b,1,4,2,Tremayne,0,1,0,0,1,1
b,1,4,10,Aisha,1,0,0,1,1,1
b,1,2,4,Brett,1,0,1,0,0,0
b,1,2,5,Darnell,1,0,0,0,1,0
b,1,4,11,Emily,1,0,0,1,0,1
b,1,4,3,Latonya,0,1,0,1,1,1
b,1,4,2,Sarah,0,1,0,1,0,1
b,1,4,7,Aisha,1,0,0,1,1,1
b,1,4,7,Anne,1,0,0,1,0,1
b,1,4,4,Jermaine,1,0,0,0,1,1
b,1,4,4,Neil,1,0,0,0,0,1
b,1,4,4,Allison,1,0,0,1,0,1
b,1,4,6,Anne,1,0,1,1,0,1
b,1,4,6,Keisha,1,0,0,1,1,1
b,1,4,6,Latonya,1,0,1,1,1,1
b,1,4,6,Latonya,1,0,0,1,1,1
b,1,4,6,Laurie,1,0,0,1,0,1
b,1,4,6,Jay,1,0,0,0,0,1
b,1,4,4,Lakisha,1,0,0,1,1,1
b,1,2,23,Anne,0,1,0,1,0,0
b,1,4,5,Keisha,0,1,0,1,1,1
b,1,3,4,Kristen,1,0,0,1,0,0
b,1,4,4,Lakisha,1,0,0,1,1,1
b,1,3,5,Allison,1,0,0,1,0,0
b,1,3,5,Ebony,1,0,0,1,1,0
b,1,3,5,Keisha,0,1,0,1,1,0
b,1,2,1,Kristen,0,1,0,1,0,0
b,1,4,5,Lakisha,0,1,0,1,1,1
b,1,4,5,Meredith,0,1,0,1,0,1
b,1,4,5,Allison,0,1,0,1,0,1
b,1,4,8,Kristen,1,0,0,1,0,1
b,1,2,4,Lakisha,0,1,0,1,1,0
b,1,4,9,Lakisha,1,0,0,1,1,1
b,1,4,9,Tanisha,1,0,1,1,1,1
b,1,3,5,Todd,1,0,1,0,0,0
b,1,4,6,Aisha,1,0,0,1,1,1
b,1,3,8,Anne,1,0,0,1,0,0
b,1,4,9,Jill,0,1,0,1,0,1
b,1,4,9,Latoya,1,0,0,1,1,1
b,1,4,5,Neil,1,0,0,0,0,1
b,1,4,10,Tamika,0,1,0,1,1,1
b,1,4,8,Anne,1,0,0,1,0,1
b,1,2,6,Geoffrey,1,0,0,0,0,0
b,1,4,5,Latoya,1,0,0,1,1,1
b,1,2,4,Rasheed,1,0,0,0,1,0
b,1,3,6,Aisha,0,1,0,1,1,0
b,1,3,4,Allison,1,0,0,1,0,0
b,1,2,6,Carrie,0,1,0,1,0,0
b,1,0,4,Ebony,0,1,0,1,1,0
b,1,3,5,Kenya,1,0,0,1,1,0
b,1,4,4,Kristen,0,1,0,1,0,1
b,1,2,6,Jermaine,0,1,0,0,1,0
b,1,2,4,Laurie,0,1,0,1,0,0
b,1,2,7,Allison,0,1,0,1,0,0
b,1,3,9,Kristen,1,0,0,1,0,0
b,1,4,7,Lakisha,0,1,0,1,1,1
b,1,3,8,Latonya,1,0,0,1,1,0
b,1,4,6,Brad,0,1,0,0,0,1
b,1,4,9,Leroy,0,1,0,0,1,1
b,1,3,12,Emily,1,0,0,1,0,0
b,1,2,6,Latonya,0,1,0,1,1,0
b,1,4,5,Latoya,1,0,0,1,1,1
b,1,4,7,Laurie,0,1,0,1,0,1
b,1,4,14,Aisha,1,0,0,1,1,1
b,1,4,12,Allison,0,1,0,1,0,1
b,1,4,7,Ebony,1,0,0,1,1,1
b,1,3,3,Jermaine,0,1,0,0,1,0
b,1,2,1,Kristen,0,1,0,1,0,0
b,1,4,5,Latonya,0,1,0,1,1,1
b,1,4,21,Laurie,1,0,0,1,0,1
b,1,4,2,Laurie,1,0,0,1,0,1
b,1,4,7,Anne,0,1,0,1,0,1
b,1,4,10,Brendan,1,0,1,0,0,1
b,1,4,10,Kareem,1,0,0,0,1,1
b,1,3,7,Keisha,1,0,0,1,1,0
b,1,4,6,Matthew,0,1,1,0,0,1
b,1,4,6,Meredith,1,0,0,1,0,1
b,1,2,6,Tanisha,0,1,0,1,1,0
b,1,3,11,Tanisha,0,1,1,1,1,0
281,1,4,14,Aisha,1,0,0,1,1,1
281,1,4,8,Allison,0,1,0,1,0,1
221,1,4,18,Allison,1,0,0,1,0,1
366,1,4,7,Anne,0,1,0,1,0,1
349,1,2,8,Brendan,0,1,0,0,0,0
254,1,4,26,Brett,0,1,0,0,0,1
1,1,4,18,Brett,1,0,0,0,0,1
349,1,4,6,Brett,1,0,0,0,0,1
366,1,4,6,Ebony,0,1,0,1,1,1
221,1,4,26,Geoffrey,0,1,0,0,0,1
281,1,4,18,Jay,1,0,0,0,0,1
393,1,4,18,Jill,1,0,0,1,0,1
393,1,4,8,Keisha,0,1,0,1,1,1
349,1,4,10,Keisha,1,0,0,1,1,1
221,1,4,8,Kenya,0,1,0,1,1,1
254,1,4,14,Kenya,1,0,0,1,1,1
1,1,4,26,Lakisha,0,1,0,1,1,1
254,1,4,8,Latoya,0,1,0,1,1,1
221,1,4,14,Latoya,1,0,0,1,1,1
254,1,4,18,Laurie,1,0,0,1,0,1
1,1,4,8,Matthew,0,1,0,0,0,1
393,1,4,14,Rasheed,1,0,0,0,1,1
393,1,4,26,Sarah,0,1,0,1,0,1
366,1,4,2,Sarah,1,0,0,1,0,1
281,1,4,26,Tamika,0,1,0,1,1,1
1,1,4,14,Tanisha,1,0,0,1,1,1
366,1,4,8,Tanisha,1,0,0,1,1,1
349,1,1,10,Tremayne,0,1,0,0,1,0
b,10,4,8,Lakisha,1,0,1,1,1,1
b,10,4,8,Meredith,1,0,1,1,0,1
b,10,3,9,Anne,0,1,0,1,0,0
b,10,3,9,Latonya,1,0,0,1,1,0
b,10,4,12,Sarah,1,0,0,1,0,1
b,10,4,15,Tamika,0,1,0,1,1,1
b,10,4,5,Jill,1,0,0,1,0,1
b,10,4,11,Keisha,0,1,0,1,1,1
b,10,3,3,Lakisha,1,0,0,1,1,0
b,10,2,6,Meredith,0,1,0,1,0,0
b,10,4,4,Jill,1,0,1,1,0,1
b,10,4,5,Keisha,0,1,0,1,1,1
b,10,3,4,Lakisha,1,0,0,1,1,0
b,10,2,6,Meredith,0,1,0,1,0,0
b,10,3,7,Carrie,0,1,0,1,0,0
b,10,4,3,Greg,1,0,0,0,0,1
b,10,4,3,Kenya,0,1,0,1,1,1
b,10,1,4,Tremayne,1,0,0,0,1,0
b,10,2,4,Kenya,0,1,0,1,1,0
b,10,2,7,Neil,0,1,0,0,0,0
b,10,4,11,Emily,1,0,0,1,0,1
b,10,4,10,Jill,0,1,0,1,0,1
b,10,4,12,Latonya,0,1,0,1,1,1
b,10,4,10,Tanisha,1,0,0,1,1,1
b,10,4,5,Ebony,0,1,0,1,1,1
b,10,3,5,Kristen,1,0,0,1,0,0
b,10,3,6,Latonya,1,0,0,1,1,0
b,10,4,5,Laurie,0,1,0,1,0,1
b,10,3,4,Anne,0,1,0,1,0,0
b,10,4,6,Emily,1,0,0,1,0,1
b,10,4,25,Keisha,0,1,0,1,1,1
b,10,4,21,Tanisha,1,0,0,1,1,1
b,10,4,6,Allison,1,0,0,1,0,1
b,10,3,6,Kristen,0,1,0,1,0,0
b,10,3,4,Latonya,0,1,0,1,1,0
b,10,3,5,Tanisha,1,0,0,1,1,0
b,10,3,9,Aisha,0,1,0,1,1,0
b,10,4,4,Allison,0,1,0,1,0,1
b,10,3,5,Anne,0,1,0,1,0,0
b,10,4,5,Latonya,0,1,0,1,1,1
b,10,4,4,Latoya,1,0,0,1,1,1
b,10,4,4,Sarah,1,0,0,1,0,1
b,10,4,5,Aisha,1,0,0,1,1,1
b,10,4,7,Anne,0,1,0,1,0,1
b,10,4,9,Latoya,0,1,0,1,1,1
b,10,4,7,Laurie,1,0,0,1,0,1
b,10,3,9,Anne,0,1,0,1,0,0
b,10,4,10,Carrie,1,0,1,1,0,1
b,10,4,9,Ebony,0,1,0,1,1,1
b,10,3,10,Lakisha,1,0,0,1,1,0
b,10,4,16,Allison,1,0,0,1,0,1
b,10,4,12,Keisha,1,0,0,1,1,1
b,10,4,11,Kristen,0,1,0,1,0,1
b,10,4,13,Tanisha,0,1,0,1,1,1
b,10,3,4,Aisha,1,0,0,1,1,0
b,10,4,4,Emily,0,1,0,1,0,1
b,10,4,5,Latonya,0,1,0,1,1,1
b,10,4,4,Sarah,1,0,0,1,0,1
b,10,4,12,Geoffrey,1,0,0,0,0,1
b,10,4,3,Kareem,0,1,1,0,1,1
b,10,3,6,Kristen,0,1,0,1,0,0
b,10,4,4,Rasheed,1,0,0,0,1,1
b,10,4,7,Todd,0,1,0,0,0,1
b,10,4,5,Tyrone,0,1,0,0,1,1
b,10,4,6,Brendan,0,1,0,0,0,1
b,10,4,2,Jamal,0,1,0,0,1,1
b,10,4,6,Matthew,1,0,0,0,0,1
b,10,4,4,Meredith,1,0,1,1,0,1
b,10,4,4,Rasheed,1,0,0,0,1,1
b,10,4,11,Tremayne,1,0,1,0,1,1
b,10,4,6,Anne,1,0,1,1,0,1
b,10,4,6,Ebony,1,0,1,1,1,1
b,10,4,6,Kristen,0,1,1,1,0,1
b,10,4,6,Tamika,0,1,0,1,1,1
b,10,4,4,Aisha,1,0,0,1,1,1
b,10,4,6,Allison,0,1,0,1,0,1
b,10,4,8,Emily,1,0,0,1,0,1
b,10,0,4,Kristen,1,0,0,1,0,0
b,10,4,8,Latoya,1,0,0,1,1,1
b,10,4,6,Tamika,0,1,0,1,1,1
b,10,4,3,Aisha,0,1,0,1,1,1
b,10,4,7,Anne,1,0,0,1,0,1
b,10,4,2,Emily,0,1,0,1,0,1
b,10,4,6,Jill,0,1,0,1,0,1
b,10,4,4,Keisha,1,0,0,1,1,1
b,10,4,6,Lakisha,0,1,0,1,1,1
b,10,4,7,Ebony,0,1,0,1,1,1
b,10,4,9,Kenya,1,0,0,1,1,1
b,10,4,15,Kristen,0,1,0,1,0,1
b,10,4,12,Meredith,1,0,0,1,0,1
b,10,4,6,Aisha,0,1,0,1,1,1
b,10,4,4,Anne,0,1,0,1,0,1
b,10,4,6,Emily,0,1,0,1,0,1
b,10,4,7,Emily,1,0,0,1,0,1
b,10,4,6,Kenya,0,1,0,1,1,1
b,10,4,5,Latonya,1,0,0,1,1,1
b,10,4,7,Anne,0,1,0,1,0,1
b,10,4,7,Emily,1,0,0,1,0,1
b,10,4,8,Keisha,0,1,0,1,1,1
b,10,4,7,Tamika,1,0,0,1,1,1
b,10,2,3,Anne,0,1,0,1,0,0
b,10,3,3,Emily,1,0,0,1,0,0
b,10,4,5,Keisha,1,0,0,1,1,1
b,10,4,4,Kenya,0,1,0,1,1,1
b,10,3,6,Latoya,1,0,0,1,1,0
b,10,4,3,Neil,1,0,0,0,0,1
b,10,4,6,Aisha,0,1,0,1,1,1
b,10,3,2,Anne,1,0,0,1,0,0
b,10,4,4,Emily,0,1,0,1,0,1
b,10,3,21,Tamika,1,0,0,1,1,0
b,10,4,5,Carrie,0,1,0,1,0,1
b,10,4,5,Jill,0,1,0,1,0,1
b,10,4,5,Keisha,1,0,0,1,1,1
b,10,4,4,Latonya,0,1,0,1,1,1
b,10,3,5,Sarah,1,0,0,1,0,0
b,10,4,5,Tyrone,0,1,0,0,1,1
b,10,4,6,Carrie,1,0,0,1,0,1
b,10,4,6,Emily,0,1,0,1,0,1
b,10,4,6,Latoya,0,1,0,1,1,1
b,10,3,6,Tanisha,1,0,0,1,1,0
b,10,3,3,Aisha,1,0,0,1,1,0
b,10,3,16,Kristen,1,0,0,1,0,0
b,10,3,6,Lakisha,0,1,0,1,1,0
b,10,4,6,Laurie,0,1,0,1,0,1
b,10,4,7,Allison,1,0,0,1,0,1
b,10,4,4,Jill,0,1,0,1,0,1
b,10,4,11,Keisha,0,1,0,1,1,1
b,10,4,5,Kristen,1,0,0,1,0,1
b,10,3,2,Lakisha,1,0,0,1,1,0
b,10,2,5,Leroy,1,0,0,0,1,0
b,10,2,4,Brad,1,0,0,0,0,0
b,10,2,6,Keisha,1,0,0,1,1,0
b,10,3,5,Allison,1,0,0,1,0,0
b,10,2,6,Carrie,0,1,0,1,0,0
b,10,3,4,Latonya,1,0,0,1,1,0
b,10,3,6,Latoya,0,1,0,1,1,0
b,10,3,6,Carrie,0,1,0,1,0,0
b,10,2,4,Ebony,1,0,0,1,1,0
b,10,3,4,Latonya,0,1,0,1,1,0
b,10,2,4,Laurie,1,0,0,1,0,0
b,10,3,4,Meredith,1,0,0,1,0,0
b,10,2,6,Tremayne,1,0,0,0,1,0
b,10,4,12,Allison,0,1,0,1,0,1
b,10,3,16,Carrie,1,0,0,1,0,0
b,10,4,7,Lakisha,1,0,0,1,1,1
b,10,4,15,Tamika,0,1,0,1,1,1
b,10,2,1,Anne,0,1,0,1,0,0
b,10,4,11,Darnell,1,0,0,0,1,1
b,10,4,1,Greg,1,0,1,0,0,1
b,10,3,3,Tamika,0,1,0,1,1,0
b,10,3,8,Allison,1,0,0,1,0,0
b,10,4,6,Carrie,0,1,0,1,0,1
b,10,4,8,Kenya,1,0,0,1,1,1
b,10,3,5,Tremayne,0,1,0,0,1,0
230,10,4,6,Aisha,0,1,0,1,1,1
290,10,4,6,Aisha,0,1,0,1,1,1
290,10,4,7,Brad,0,1,0,0,0,1
402,10,4,8,Brad,1,0,0,0,0,1
185,10,4,8,Brendan,0,1,0,0,0,1
402,10,4,2,Ebony,1,0,0,1,1,1
185,10,4,8,Geoffrey,1,0,0,0,0,1
402,10,4,7,Greg,0,1,0,0,0,1
290,10,4,8,Greg,1,0,0,0,0,1
358,10,4,2,Greg,1,0,0,0,0,1
402,10,4,6,Hakim,0,1,0,0,1,1
358,10,4,6,Jay,0,1,0,0,0,1
358,10,4,7,Jermaine,0,1,0,0,1,1
185,10,4,8,Kareem,0,1,0,0,1,1
375,10,4,6,Kareem,0,1,0,0,1,1
185,10,4,10,Latonya,1,0,0,1,1,1
290,10,4,2,Leroy,1,0,0,0,1,1
375,10,4,7,Meredith,0,1,0,1,0,1
230,10,4,2,Sarah,1,0,0,1,0,1
375,10,4,8,Sarah,1,0,0,1,0,1
375,10,4,2,Tamika,1,0,0,1,1,1
358,10,4,8,Tanisha,1,0,0,1,1,1
230,10,4,7,Todd,0,1,0,0,0,1
230,10,4,8,Tremayne,1,0,0,0,1,1
b,100,2,16,Emily,1,0,0,1,0,0
b,100,4,7,Kenya,0,1,0,1,1,1
b,100,4,5,Latoya,1,0,0,1,1,1
b,100,3,4,Sarah,0,1,0,1,0,0
a,100b,4,5,Carrie,1,0,1,1,0,1
a,100b,4,13,Jermaine,0,1,1,0,1,1
a,100b,4,8,Matthew,0,1,0,0,0,1
a,100b,4,20,Tyrone,1,0,0,0,1,1
a,101b,4,8,Allison,0,1,0,1,0,1
a,101b,4,5,Ebony,1,0,0,1,1,1
a,101b,4,20,Jay,1,0,1,0,0,1
a,101b,4,13,Tamika,0,1,0,1,1,1
b,102,3,2,Anne,0,1,0,1,0,0
b,102,4,14,Latonya,1,0,0,1,1,1
b,102,3,4,Laurie,1,0,0,1,0,0
b,102,3,1,Tanisha,0,1,0,1,1,0
b,103,3,4,Ebony,1,0,0,1,1,0
b,103,3,2,Jill,0,1,0,1,0,0
b,103,4,4,Kristen,1,0,0,1,0,1
b,103,3,1,Lakisha,0,1,0,1,1,0
a,103b,4,8,Carrie,1,0,0,1,0,1
a,103b,4,6,Jill,0,1,0,1,0,1
a,103b,4,7,Keisha,0,1,0,1,1,1
a,103b,4,2,Rasheed,1,0,0,0,1,1
b,104,3,13,Allison,0,1,0,1,0,0
b,104,4,8,Kenya,1,0,0,1,1,1
b,104,4,9,Meredith,1,0,0,1,0,1
b,104,3,4,Tamika,0,1,0,1,1,0
a,104b,4,7,Matthew,0,1,0,0,0,1
a,104b,4,6,Tremayne,0,1,0,0,1,1
b,105,3,4,Ebony,0,1,0,1,1,0
b,105,4,7,Emily,0,1,0,1,0,1
b,105,3,26,Jill,1,0,0,1,0,0
b,105,3,16,Tamika,1,0,0,1,1,0
a,105b,4,5,Darnell,1,0,0,0,1,1
a,105b,4,20,Emily,1,0,1,1,0,1
a,105b,4,8,Neil,0,1,0,0,0,1
a,105b,4,13,Tamika,0,1,0,1,1,1
b,107,4,8,Latonya,1,0,0,1,1,1
b,107,3,5,Laurie,0,1,0,1,0,0
b,107,2,18,Sarah,1,0,0,1,0,0
b,107,3,7,Tanisha,0,1,0,1,1,0
a,107b,4,8,Carrie,1,0,0,1,0,1
a,107b,4,6,Kareem,0,1,0,0,1,1
a,107b,4,7,Todd,0,1,0,0,0,1
a,107b,4,2,Tyrone,1,0,0,0,1,1
b,108,3,5,Anne,0,1,0,1,0,0
b,108,4,14,Jill,1,0,0,1,0,1
b,108,4,11,Kenya,0,1,1,1,1,1
b,108,4,9,Latoya,1,0,1,1,1,1
a,108b,4,2,Anne,1,0,0,1,0,1
a,108b,4,8,Ebony,1,0,0,1,1,1
a,108b,4,6,Emily,0,1,0,1,0,1
a,108b,4,7,Keisha,0,1,0,1,1,1
b,109,3,13,Allison,0,1,0,1,0,0
b,109,4,5,Kristen,1,0,0,1,0,1
b,109,4,7,Lakisha,0,1,0,1,1,1
b,109,3,16,Tanisha,1,0,0,1,1,0
a,109b,4,7,Brendan,0,1,0,0,0,1
a,109b,4,2,Laurie,1,0,0,1,0,1
a,109b,4,8,Rasheed,1,0,0,0,1,1
a,109b,4,6,Tyrone,0,1,0,0,1,1
a,10b,1,10,Jill,0,1,0,1,0,0
a,10b,4,10,Lakisha,1,0,0,1,1,1
a,10b,4,6,Matthew,1,0,1,0,0,1
a,10b,2,8,Tamika,0,1,0,1,1,0
b,11,3,5,Aisha,1,0,0,1,1,0
b,11,3,7,Emily,1,0,0,1,0,0
b,11,4,6,Keisha,0,1,0,1,1,1
b,11,4,11,Sarah,0,1,1,1,0,1
b,11,3,3,Anne,1,0,0,1,0,0
b,11,4,11,Emily,0,1,0,1,0,1
b,11,2,6,Latoya,0,1,0,1,1,0
b,11,4,5,Tamika,1,0,0,1,1,1
b,11,4,6,Kenya,0,1,0,1,1,1
b,11,3,7,Kristen,1,0,0,1,0,0
b,11,3,7,Latonya,1,0,0,1,1,0
b,11,4,6,Laurie,0,1,0,1,0,1
b,11,3,21,Carrie,1,0,0,1,0,0
b,11,4,19,Jill,0,1,0,1,0,1
b,11,3,23,Keisha,1,0,0,1,1,0
b,11,4,9,Latoya,0,1,0,1,1,1
b,11,3,4,Emily,1,0,0,1,0,0
b,11,4,4,Kristen,0,1,0,1,0,1
b,11,3,4,Latoya,0,1,0,1,1,0
b,11,4,4,Tamika,1,0,0,1,1,1
b,11,4,6,Keisha,0,1,0,1,1,1
b,11,3,8,Kristen,0,1,0,1,0,0
b,11,4,7,Lakisha,1,0,0,1,1,1
b,11,3,6,Meredith,1,0,0,1,0,0
b,11,3,9,Allison,1,0,0,1,0,0
b,11,4,12,Lakisha,1,0,0,1,1,1
b,11,4,11,Meredith,0,1,0,1,0,1
b,11,3,11,Tanisha,0,1,0,1,1,0
b,11,4,21,Emily,0,1,1,1,0,1
b,11,4,19,Keisha,0,1,0,1,1,1
b,11,3,20,Latonya,1,0,1,1,1,0
b,11,3,21,Sarah,1,0,1,1,0,0
b,11,4,5,Aisha,1,0,1,1,1,1
b,11,3,5,Jill,1,0,1,1,0,0
b,11,2,4,Latonya,0,1,1,1,1,0
b,11,4,4,Sarah,0,1,1,1,0,1
b,11,4,4,Anne,0,1,0,1,0,1
b,11,4,4,Kenya,1,0,0,1,1,1
b,11,3,9,Latoya,0,1,0,1,1,0
b,11,4,4,Sarah,1,0,0,1,0,1
b,11,4,6,Allison,0,1,0,1,0,1
b,11,4,5,Keisha,1,0,0,1,1,1
b,11,4,5,Meredith,1,0,0,1,0,1
b,11,4,4,Tanisha,0,1,0,1,1,1
b,11,3,10,Anne,1,0,0,1,0,0
b,11,4,11,Carrie,0,1,0,1,0,1
b,11,3,11,Latonya,1,0,0,1,1,0
b,11,4,10,Tanisha,0,1,0,1,1,1
b,11,4,5,Allison,0,1,0,1,0,1
b,11,4,9,Anne,1,0,0,1,0,1
b,11,4,5,Ebony,1,0,0,1,1,1
b,11,2,4,Jill,0,1,0,1,0,0
b,11,4,2,Keisha,0,1,0,1,1,1
b,11,4,8,Lakisha,1,0,0,1,1,1
b,11,4,5,Latonya,0,1,0,1,1,1
b,11,4,5,Todd,1,0,0,0,0,1
b,11,4,11,Carrie,1,0,0,1,0,1
b,11,4,6,Meredith,0,1,0,1,0,1
b,11,4,11,Tamika,1,0,0,1,1,1
b,11,4,6,Tanisha,0,1,0,1,1,1
b,11,4,6,Aisha,1,0,0,1,1,1
b,11,4,6,Anne,0,1,0,1,0,1
b,11,4,6,Emily,1,0,0,1,0,1
b,11,4,14,Latonya,0,1,0,1,1,1
b,11,4,7,Aisha,0,1,0,1,1,1
b,11,4,4,Allison,0,1,0,1,0,1
b,11,4,4,Jill,1,0,0,1,0,1
b,11,4,3,Tamika,1,0,0,1,1,1
b,11,4,4,Anne,0,1,0,1,0,1
b,11,3,6,Ebony,0,1,0,1,1,0
b,11,4,7,Jill,1,0,0,1,0,1
b,11,4,5,Tamika,1,0,0,1,1,1
b,11,2,3,Carrie,0,1,0,1,0,0
b,11,3,5,Kenya,1,0,0,1,1,0
b,11,3,5,Sarah,1,0,0,1,0,0
b,11,3,6,Tanisha,0,1,0,1,1,0
b,11,4,4,Anne,0,1,0,1,0,1
b,11,4,6,Keisha,0,1,0,1,1,1
b,11,4,2,Allison,0,1,0,1,0,1
b,11,4,6,Latoya,1,0,0,1,1,1
b,11,4,7,Sarah,1,0,0,1,0,1
b,11,4,5,Tamika,0,1,0,1,1,1
b,11,3,8,Anne,0,1,0,1,0,0
b,11,4,5,Jill,1,0,0,1,0,1
b,11,3,1,Kenya,1,0,0,1,1,0
b,11,4,12,Lakisha,0,1,0,1,1,1
b,11,3,6,Jill,0,1,0,1,0,0
b,11,3,8,Keisha,0,1,0,1,1,0
b,11,3,4,Lakisha,1,0,0,1,1,0
b,11,2,7,Meredith,1,0,0,1,0,0
b,11,3,3,Aisha,0,1,0,1,1,0
b,11,4,4,Allison,0,1,0,1,0,1
b,11,4,6,Allison,0,1,0,1,0,1
b,11,4,5,Hakim,0,1,0,0,1,1
b,11,3,3,Sarah,1,0,0,1,0,0
b,11,3,5,Tamika,1,0,0,1,1,0
b,11,3,12,Aisha,1,0,0,1,1,0
b,11,3,6,Latoya,0,1,0,1,1,0
b,11,4,6,Laurie,0,1,0,1,0,1
b,11,3,9,Meredith,1,0,0,1,0,0
359,11,4,8,Aisha,1,0,0,1,1,1
11,11,4,8,Allison,1,0,0,1,0,1
359,11,4,2,Allison,1,0,0,1,0,1
403,11,4,2,Allison,1,0,0,1,0,1
264,11,4,6,Anne,0,1,0,1,0,1
291,11,4,6,Brad,1,0,0,0,0,1
315,11,4,2,Brendan,1,0,0,0,0,1
11,11,4,6,Darnell,0,1,0,0,1,1
81,11,4,8,Emily,1,0,0,1,0,1
81,11,4,7,Geoffrey,0,1,0,0,0,1
315,11,4,6,Greg,0,1,0,0,0,1
403,11,4,7,Hakim,0,1,0,0,1,1
81,11,4,2,Hakim,1,0,0,0,1,1
291,11,1,10,Jay,0,1,0,0,0,0
315,11,4,8,Jermaine,1,0,0,0,1,1
