yearsexp,firstname,high_quality,call,female,black,boston,college,income_in_city
4,"Jermaine",1,0,0,1,0,1,6.3153
4,"Neil",1,0,0,0,0,1,6.3153
4,"Allison",1,0,1,0,0,1,6.3153
6,"Anne",1,1,1,0,0,1,6.3153
6,"Keisha",1,0,1,1,0,1,6.3153
6,"Latonya",1,1,1,1,0,1,6.3153
6,"Latonya",1,0,1,1,0,1,6.3153
6,"Laurie",1,0,1,0,0,1,6.3153
6,"Jay",1,0,0,0,0,1,6.3153
4,"Lakisha",1,0,1,1,0,1,6.3153
23,"Anne",0,0,1,0,0,0,6.3153
5,"Keisha",0,0,1,1,0,1,6.3153
4,"Kristen",1,0,1,0,0,0,6.3153
4,"Lakisha",1,0,1,1,0,1,6.3153
5,"Allison",1,0,1,0,0,0,6.3153
5,"Ebony",1,0,1,1,0,0,6.3153
5,"Keisha",0,0,1,1,0,0,6.3153
1,"Kristen",0,0,1,0,0,0,6.3153
5,"Lakisha",0,0,1,1,0,1,6.3153
5,"Meredith",0,0,1,0,0,1,6.3153
5,"Allison",0,0,1,0,0,1,6.3153
8,"Kristen",1,0,1,0,0,1,6.3153
4,"Lakisha",0,0,1,1,0,0,6.3153
9,"Lakisha",1,0,1,1,0,1,6.3153
9,"Tanisha",1,1,1,1,0,1,6.3153
5,"Todd",1,1,0,0,0,0,6.3153
6,"Aisha",1,0,1,1,0,1,6.3153
8,"Anne",1,0,1,0,0,0,6.3153
9,"Jill",0,0,1,0,0,1,6.3153
9,"Latoya",1,0,1,1,0,1,6.3153
5,"Neil",1,0,0,0,0,1,6.3153
10,"Tamika",0,0,1,1,0,1,6.3153
8,"Anne",1,0,1,0,0,1,6.3153
6,"Geoffrey",1,0,0,0,0,0,6.3153
5,"Latoya",1,0,1,1,0,1,6.3153
4,"Rasheed",1,0,0,1,0,0,6.3153
6,"Aisha",0,0,1,1,0,0,6.3153
4,"Allison",1,0,1,0,0,0,6.3153
6,"Carrie",0,0,1,0,0,0,6.3153
4,"Ebony",0,0,1,1,0,0,6.3153
5,"Kenya",1,0,1,1,0,0,6.3153
4,"Kristen",0,0,1,0,0,1,6.3153
6,"Jermaine",0,0,0,1,0,0,6.3153
4,"Laurie",0,0,1,0,0,0,6.3153
7,"Allison",0,0,1,0,0,0,6.3153
9,"Kristen",1,0,1,0,0,0,6.3153
7,"Lakisha",0,0,1,1,0,1,6.3153
8,"Latonya",1,0,1,1,0,0,6.3153
6,"Brad",0,0,0,0,0,1,6.3153
9,"Leroy",0,0,0,1,0,1,6.3153
12,"Emily",1,0,1,0,0,0,6.3153
6,"Latonya",0,0,1,1,0,0,6.3153
5,"Latoya",1,0,1,1,0,1,6.3153
7,"Laurie",0,0,1,0,0,1,6.3153
14,"Aisha",1,0,1,1,0,1,6.3153
12,"Allison",0,0,1,0,0,1,6.3153
7,"Ebony",1,0,1,1,0,1,6.3153
3,"Jermaine",0,0,0,1,0,0,6.3153
1,"Kristen",0,0,1,0,0,0,6.3153
5,"Latonya",0,0,1,1,0,1,6.3153
21,"Laurie",1,0,1,0,0,1,6.3153
2,"Laurie",1,0,1,0,0,1,6.3153
7,"Anne",0,0,1,0,0,1,6.3153
10,"Brendan",1,1,0,0,0,1,6.3153
10,"Kareem",1,0,0,1,0,1,6.3153
7,"Keisha",1,0,1,1,0,0,6.3153
6,"Matthew",0,1,0,0,0,1,6.3153
6,"Meredith",1,0,1,0,0,1,6.3153
6,"Tanisha",0,0,1,1,0,0,6.3153
11,"Tanisha",0,1,1,1,0,0,6.3153
14,"Aisha",1,0,1,1,1,1,5.3657
8,"Allison",0,0,1,0,1,1,5.3657
18,"Allison",1,0,1,0,1,1,5.3657
7,"Anne",0,0,1,0,1,1,5.3657
8,"Brendan",0,0,0,0,1,0,5.3657
26,"Brett",0,0,0,0,1,1,5.3657
18,"Brett",1,0,0,0,1,1,5.3657
6,"Brett",1,0,0,0,1,1,5.3657
6,"Ebony",0,0,1,1,1,1,5.3657
26,"Geoffrey",0,0,0,0,1,1,5.3657
18,"Jay",1,0,0,0,1,1,5.3657
18,"Jill",1,0,1,0,1,1,5.3657
8,"Keisha",0,0,1,1,1,1,5.3657
10,"Keisha",1,0,1,1,1,1,5.3657
8,"Kenya",0,0,1,1,1,1,5.3657
14,"Kenya",1,0,1,1,1,1,5.3657
26,"Lakisha",0,0,1,1,1,1,5.3657
8,"Latoya",0,0,1,1,1,1,5.3657
14,"Latoya",1,0,1,1,1,1,5.3657
18,"Laurie",1,0,1,0,1,1,5.3657
8,"Matthew",0,0,0,0,1,1,5.3657
14,"Rasheed",1,0,0,1,1,1,5.3657
26,"Sarah",0,0,1,0,1,1,5.3657
2,"Sarah",1,0,1,0,1,1,5.3657
26,"Tamika",0,0,1,1,1,1,5.3657
14,"Tanisha",1,0,1,1,1,1,5.3657
8,"Tanisha",1,0,1,1,1,1,5.3657
10,"Tremayne",0,0,0,1,1,0,5.3657
8,"Lakisha",1,1,1,1,0,1,6.3153
8,"Meredith",1,1,1,0,0,1,6.3153
9,"Anne",0,0,1,0,0,0,6.3153
9,"Latonya",1,0,1,1,0,0,6.3153
12,"Sarah",1,0,1,0,0,1,6.3153
15,"Tamika",0,0,1,1,0,1,6.3153
5,"Jill",1,0,1,0,0,1,6.3153
11,"Keisha",0,0,1,1,0,1,6.3153
3,"Lakisha",1,0,1,1,0,0,6.3153
6,"Meredith",0,0,1,0,0,0,6.3153
4,"Jill",1,1,1,0,0,1,6.3153
5,"Keisha",0,0,1,1,0,1,6.3153
4,"Lakisha",1,0,1,1,0,0,6.3153
6,"Meredith",0,0,1,0,0,0,6.3153
7,"Carrie",0,0,1,0,0,0,6.3153
3,"Greg",1,0,0,0,0,1,6.3153
3,"Kenya",0,0,1,1,0,1,6.3153
4,"Tremayne",1,0,0,1,0,0,6.3153
4,"Kenya",0,0,1,1,0,0,6.3153
7,"Neil",0,0,0,0,0,0,6.3153
11,"Emily",1,0,1,0,0,1,6.3153
10,"Jill",0,0,1,0,0,1,6.3153
12,"Latonya",0,0,1,1,0,1,6.3153
10,"Tanisha",1,0,1,1,0,1,6.3153
5,"Ebony",0,0,1,1,0,1,6.3153
5,"Kristen",1,0,1,0,0,0,6.3153
6,"Latonya",1,0,1,1,0,0,6.3153
5,"Laurie",0,0,1,0,0,1,6.3153
4,"Anne",0,0,1,0,0,0,6.3153
6,"Emily",1,0,1,0,0,1,6.3153
25,"Keisha",0,0,1,1,0,1,6.3153
21,"Tanisha",1,0,1,1,0,1,6.3153
6,"Allison",1,0,1,0,0,1,6.3153
6,"Kristen",0,0,1,0,0,0,6.3153
4,"Latonya",0,0,1,1,0,0,6.3153
5,"Tanisha",1,0,1,1,0,0,6.3153
9,"Aisha",0,0,1,1,0,0,6.3153
4,"Allison",0,0,1,0,0,1,6.3153
5,"Anne",0,0,1,0,0,0,6.3153
5,"Latonya",0,0,1,1,0,1,6.3153
4,"Latoya",1,0,1,1,0,1,6.3153
4,"Sarah",1,0,1,0,0,1,6.3153
5,"Aisha",1,0,1,1,0,1,6.3153
7,"Anne",0,0,1,0,0,1,6.3153
9,"Latoya",0,0,1,1,0,1,6.3153
7,"Laurie",1,0,1,0,0,1,6.3153
9,"Anne",0,0,1,0,0,0,6.3153
10,"Carrie",1,1,1,0,0,1,6.3153
9,"Ebony",0,0,1,1,0,1,6.3153
10,"Lakisha",1,0,1,1,0,0,6.3153
16,"Allison",1,0,1,0,0,1,6.3153
12,"Keisha",1,0,1,1,0,1,6.3153
11,"Kristen",0,0,1,0,0,1,6.3153
13,"Tanisha",0,0,1,1,0,1,6.3153
4,"Aisha",1,0,1,1,0,0,6.3153
4,"Emily",0,0,1,0,0,1,6.3153
5,"Latonya",0,0,1,1,0,1,6.3153
4,"Sarah",1,0,1,0,0,1,6.3153
12,"Geoffrey",1,0,0,0,0,1,6.3153
3,"Kareem",0,1,0,1,0,1,6.3153
6,"Kristen",0,0,1,0,0,0,6.3153
4,"Rasheed",1,0,0,1,0,1,6.3153
7,"Todd",0,0,0,0,0,1,6.3153
5,"Tyrone",0,0,0,1,0,1,6.3153
6,"Brendan",0,0,0,0,0,1,6.3153
2,"Jamal",0,0,0,1,0,1,6.3153
6,"Matthew",1,0,0,0,0,1,6.3153
4,"Meredith",1,1,1,0,0,1,6.3153
4,"Rasheed",1,0,0,1,0,1,6.3153
11,"Tremayne",1,1,0,1,0,1,6.3153
6,"Anne",1,1,1,0,0,1,6.3153
6,"Ebony",1,1,1,1,0,1,6.3153
6,"Kristen",0,1,1,0,0,1,6.3153
6,"Tamika",0,0,1,1,0,1,6.3153
4,"Aisha",1,0,1,1,0,1,6.3153
6,"Allison",0,0,1,0,0,1,6.3153
8,"Emily",1,0,1,0,0,1,6.3153
4,"Kristen",1,0,1,0,0,0,6.3153
8,"Latoya",1,0,1,1,0,1,6.3153
6,"Tamika",0,0,1,1,0,1,6.3153
3,"Aisha",0,0,1,1,0,1,6.3153
7,"Anne",1,0,1,0,0,1,6.3153
2,"Emily",0,0,1,0,0,1,6.3153
6,"Jill",0,0,1,0,0,1,6.3153
4,"Keisha",1,0,1,1,0,1,6.3153
6,"Lakisha",0,0,1,1,0,1,6.3153
7,"Ebony",0,0,1,1,0,1,6.3153
9,"Kenya",1,0,1,1,0,1,6.3153
15,"Kristen",0,0,1,0,0,1,6.3153
12,"Meredith",1,0,1,0,0,1,6.3153
6,"Aisha",0,0,1,1,0,1,6.3153
4,"Anne",0,0,1,0,0,1,6.3153
6,"Emily",0,0,1,0,0,1,6.3153
7,"Emily",1,0,1,0,0,1,6.3153
6,"Kenya",0,0,1,1,0,1,6.3153
5,"Latonya",1,0,1,1,0,1,6.3153
7,"Anne",0,0,1,0,0,1,6.3153
7,"Emily",1,0,1,0,0,1,6.3153
8,"Keisha",0,0,1,1,0,1,6.3153
7,"Tamika",1,0,1,1,0,1,6.3153
3,"Anne",0,0,1,0,0,0,6.3153
3,"Emily",1,0,1,0,0,0,6.3153
5,"Keisha",1,0,1,1,0,1,6.3153
4,"Kenya",0,0,1,1,0,1,6.3153
6,"Latoya",1,0,1,1,0,0,6.3153
3,"Neil",1,0,0,0,0,1,6.3153
6,"Aisha",0,0,1,1,0,1,6.3153
2,"Anne",1,0,1,0,0,0,6.3153
4,"Emily",0,0,1,0,0,1,6.3153
21,"Tamika",1,0,1,1,0,0,6.3153
5,"Carrie",0,0,1,0,0,1,6.3153
5,"Jill",0,0,1,0,0,1,6.3153
5,"Keisha",1,0,1,1,0,1,6.3153
4,"Latonya",0,0,1,1,0,1,6.3153
5,"Sarah",1,0,1,0,0,0,6.3153
5,"Tyrone",0,0,0,1,0,1,6.3153
6,"Carrie",1,0,1,0,0,1,6.3153
6,"Emily",0,0,1,0,0,1,6.3153
6,"Latoya",0,0,1,1,0,1,6.3153
6,"Tanisha",1,0,1,1,0,0,6.3153
3,"Aisha",1,0,1,1,0,0,6.3153
16,"Kristen",1,0,1,0,0,0,6.3153
6,"Lakisha",0,0,1,1,0,0,6.3153
6,"Laurie",0,0,1,0,0,1,6.3153
7,"Allison",1,0,1,0,0,1,6.3153
4,"Jill",0,0,1,0,0,1,6.3153
11,"Keisha",0,0,1,1,0,1,6.3153
5,"Kristen",1,0,1,0,0,1,6.3153
2,"Lakisha",1,0,1,1,0,0,6.3153
5,"Leroy",1,0,0,1,0,0,6.3153
4,"Brad",1,0,0,0,0,0,6.3153
6,"Keisha",1,0,1,1,0,0,6.3153
5,"Allison",1,0,1,0,0,0,6.3153
6,"Carrie",0,0,1,0,0,0,6.3153
4,"Latonya",1,0,1,1,0,0,6.3153
6,"Latoya",0,0,1,1,0,0,6.3153
6,"Carrie",0,0,1,0,0,0,6.3153
4,"Ebony",1,0,1,1,0,0,6.3153
4,"Latonya",0,0,1,1,0,0,6.3153
4,"Laurie",1,0,1,0,0,0,6.3153
4,"Meredith",1,0,1,0,0,0,6.3153
6,"Tremayne",1,0,0,1,0,0,6.3153
12,"Allison",0,0,1,0,0,1,6.3153
16,"Carrie",1,0,1,0,0,0,6.3153
7,"Lakisha",1,0,1,1,0,1,6.3153
15,"Tamika",0,0,1,1,0,1,6.3153
1,"Anne",0,0,1,0,0,0,6.3153
11,"Darnell",1,0,0,1,0,1,6.3153
1,"Greg",1,1,0,0,0,1,6.3153
3,"Tamika",0,0,1,1,0,0,6.3153
8,"Allison",1,0,1,0,0,0,6.3153
6,"Carrie",0,0,1,0,0,1,6.3153
8,"Kenya",1,0,1,1,0,1,6.3153
5,"Tremayne",0,0,0,1,0,0,6.3153
6,"Aisha",0,0,1,1,1,1,5.3657
6,"Aisha",0,0,1,1,1,1,5.3657
7,"Brad",0,0,0,0,1,1,5.3657
8,"Brad",1,0,0,0,1,1,5.3657
8,"Brendan",0,0,0,0,1,1,5.3657
2,"Ebony",1,0,1,1,1,1,5.3657
8,"Geoffrey",1,0,0,0,1,1,5.3657
7,"Greg",0,0,0,0,1,1,5.3657
8,"Greg",1,0,0,0,1,1,5.3657
2,"Greg",1,0,0,0,1,1,5.3657
6,"Hakim",0,0,0,1,1,1,5.3657
6,"Jay",0,0,0,0,1,1,5.3657
7,"Jermaine",0,0,0,1,1,1,5.3657
8,"Kareem",0,0,0,1,1,1,5.3657
6,"Kareem",0,0,0,1,1,1,5.3657
10,"Latonya",1,0,1,1,1,1,5.3657
2,"Leroy",1,0,0,1,1,1,5.3657
7,"Meredith",0,0,1,0,1,1,5.3657
2,"Sarah",1,0,1,0,1,1,5.3657
8,"Sarah",1,0,1,0,1,1,5.3657
2,"Tamika",1,0,1,1,1,1,5.3657
8,"Tanisha",1,0,1,1,1,1,5.3657
7,"Todd",0,0,0,0,1,1,5.3657
8,"Tremayne",1,0,0,1,1,1,5.3657
16,"Emily",1,0,1,0,1,0,5.3657
7,"Kenya",0,0,1,1,1,1,5.3657
5,"Latoya",1,0,1,1,1,1,5.3657
4,"Sarah",0,0,1,0,1,0,5.3657
5,"Carrie",1,1,1,0,1,1,5.3657
13,"Jermaine",0,1,0,1,1,1,5.3657
8,"Matthew",0,0,0,0,1,1,5.3657
20,"Tyrone",1,0,0,1,1,1,5.3657
8,"Allison",0,0,1,0,1,1,5.3657
5,"Ebony",1,0,1,1,1,1,5.3657
20,"Jay",1,1,0,0,1,1,5.3657
13,"Tamika",0,0,1,1,1,1,5.3657
2,"Anne",0,0,1,0,1,0,5.3657
14,"Latonya",1,0,1,1,1,1,5.3657
4,"Laurie",1,0,1,0,1,0,5.3657
1,"Tanisha",0,0,1,1,1,0,5.3657
4,"Ebony",1,0,1,1,1,0,5.3657
2,"Jill",0,0,1,0,1,0,5.3657
4,"Kristen",1,0,1,0,1,1,5.3657
1,"Lakisha",0,0,1,1,1,0,5.3657
8,"Carrie",1,0,1,0,1,1,5.3657
6,"Jill",0,0,1,0,1,1,5.3657
7,"Keisha",0,0,1,1,1,1,5.3657
2,"Rasheed",1,0,0,1,1,1,5.3657
13,"Allison",0,0,1,0,1,0,5.3657
8,"Kenya",1,0,1,1,1,1,5.3657
9,"Meredith",1,0,1,0,1,1,5.3657
4,"Tamika",0,0,1,1,1,0,5.3657
7,"Matthew",0,0,0,0,1,1,5.3657
6,"Tremayne",0,0,0,1,1,1,5.3657
4,"Ebony",0,0,1,1,1,0,5.3657
7,"Emily",0,0,1,0,1,1,5.3657
26,"Jill",1,0,1,0,1,0,5.3657
16,"Tamika",1,0,1,1,1,0,5.3657
5,"Darnell",1,0,0,1,1,1,5.3657
20,"Emily",1,1,1,0,1,1,5.3657
8,"Neil",0,0,0,0,1,1,5.3657
13,"Tamika",0,0,1,1,1,1,5.3657
8,"Latonya",1,0,1,1,1,1,5.3657
5,"Laurie",0,0,1,0,1,0,5.3657
18,"Sarah",1,0,1,0,1,0,5.3657
7,"Tanisha",0,0,1,1,1,0,5.3657
8,"Carrie",1,0,1,0,1,1,5.3657
6,"Kareem",0,0,0,1,1,1,5.3657
7,"Todd",0,0,0,0,1,1,5.3657
2,"Tyrone",1,0,0,1,1,1,5.3657
5,"Anne",0,0,1,0,1,0,5.3657
14,"Jill",1,0,1,0,1,1,5.3657
11,"Kenya",0,1,1,1,1,1,5.3657
9,"Latoya",1,1,1,1,1,1,5.3657
2,"Anne",1,0,1,0,1,1,5.3657
8,"Ebony",1,0,1,1,1,1,5.3657
6,"Emily",0,0,1,0,1,1,5.3657
7,"Keisha",0,0,1,1,1,1,5.3657
13,"Allison",0,0,1,0,1,0,5.3657
5,"Kristen",1,0,1,0,1,1,5.3657
7,"Lakisha",0,0,1,1,1,1,5.3657
16,"Tanisha",1,0,1,1,1,0,5.3657
7,"Brendan",0,0,0,0,1,1,5.3657
2,"Laurie",1,0,1,0,1,1,5.3657
8,"Rasheed",1,0,0,1,1,1,5.3657
6,"Tyrone",0,0,0,1,1,1,5.3657
10,"Jill",0,0,1,0,1,0,5.3657
10,"Lakisha",1,0,1,1,1,1,5.3657
6,"Matthew",1,1,0,0,1,1,5.3657
8,"Tamika",0,0,1,1,1,0,5.3657
5,"Aisha",1,0,1,1,0,0,6.3153
7,"Emily",1,0,1,0,0,0,6.3153
6,"Keisha",0,0,1,1,0,1,6.3153
11,"Sarah",0,1,1,0,0,1,6.3153
3,"Anne",1,0,1,0,0,0,6.3153
11,"Emily",0,0,1,0,0,1,6.3153
6,"Latoya",0,0,1,1,0,0,6.3153
5,"Tamika",1,0,1,1,0,1,6.3153
6,"Kenya",0,0,1,1,0,1,6.3153
7,"Kristen",1,0,1,0,0,0,6.3153
7,"Latonya",1,0,1,1,0,0,6.3153
6,"Laurie",0,0,1,0,0,1,6.3153
21,"Carrie",1,0,1,0,0,0,6.3153
19,"Jill",0,0,1,0,0,1,6.3153
23,"Keisha",1,0,1,1,0,0,6.3153
9,"Latoya",0,0,1,1,0,1,6.3153
4,"Emily",1,0,1,0,0,0,6.3153
4,"Kristen",0,0,1,0,0,1,6.3153
4,"Latoya",0,0,1,1,0,0,6.3153
4,"Tamika",1,0,1,1,0,1,6.3153
6,"Keisha",0,0,1,1,0,1,6.3153
8,"Kristen",0,0,1,0,0,0,6.3153
7,"Lakisha",1,0,1,1,0,1,6.3153
6,"Meredith",1,0,1,0,0,0,6.3153
9,"Allison",1,0,1,0,0,0,6.3153
12,"Lakisha",1,0,1,1,0,1,6.3153
11,"Meredith",0,0,1,0,0,1,6.3153
11,"Tanisha",0,0,1,1,0,0,6.3153
21,"Emily",0,1,1,0,0,1,6.3153
19,"Keisha",0,0,1,1,0,1,6.3153
20,"Latonya",1,1,1,1,0,0,6.3153
21,"Sarah",1,1,1,0,0,0,6.3153
5,"Aisha",1,1,1,1,0,1,6.3153
5,"Jill",1,1,1,0,0,0,6.3153
4,"Latonya",0,1,1,1,0,0,6.3153
4,"Sarah",0,1,1,0,0,1,6.3153
4,"Anne",0,0,1,0,0,1,6.3153
4,"Kenya",1,0,1,1,0,1,6.3153
9,"Latoya",0,0,1,1,0,0,6.3153
4,"Sarah",1,0,1,0,0,1,6.3153
6,"Allison",0,0,1,0,0,1,6.3153
5,"Keisha",1,0,1,1,0,1,6.3153
5,"Meredith",1,0,1,0,0,1,6.3153
4,"Tanisha",0,0,1,1,0,1,6.3153
10,"Anne",1,0,1,0,0,0,6.3153
11,"Carrie",0,0,1,0,0,1,6.3153
11,"Latonya",1,0,1,1,0,0,6.3153
10,"Tanisha",0,0,1,1,0,1,6.3153
5,"Allison",0,0,1,0,0,1,6.3153
9,"Anne",1,0,1,0,0,1,6.3153
5,"Ebony",1,0,1,1,0,1,6.3153
4,"Jill",0,0,1,0,0,0,6.3153
2,"Keisha",0,0,1,1,0,1,6.3153
8,"Lakisha",1,0,1,1,0,1,6.3153
5,"Latonya",0,0,1,1,0,1,6.3153
5,"Todd",1,0,0,0,0,1,6.3153
11,"Carrie",1,0,1,0,0,1,6.3153
6,"Meredith",0,0,1,0,0,1,6.3153
11,"Tamika",1,0,1,1,0,1,6.3153
6,"Tanisha",0,0,1,1,0,1,6.3153
6,"Aisha",1,0,1,1,0,1,6.3153
6,"Anne",0,0,1,0,0,1,6.3153
6,"Emily",1,0,1,0,0,1,6.3153
14,"Latonya",0,0,1,1,0,1,6.3153
7,"Aisha",0,0,1,1,0,1,6.3153
4,"Allison",0,0,1,0,0,1,6.3153
4,"Jill",1,0,1,0,0,1,6.3153
3,"Tamika",1,0,1,1,0,1,6.3153
4,"Anne",0,0,1,0,0,1,6.3153
6,"Ebony",0,0,1,1,0,0,6.3153
7,"Jill",1,0,1,0,0,1,6.3153
5,"Tamika",1,0,1,1,0,1,6.3153
3,"Carrie",0,0,1,0,0,0,6.3153
5,"Kenya",1,0,1,1,0,0,6.3153
5,"Sarah",1,0,1,0,0,0,6.3153
6,"Tanisha",0,0,1,1,0,0,6.3153
4,"Anne",0,0,1,0,0,1,6.3153
6,"Keisha",0,0,1,1,0,1,6.3153
2,"Allison",0,0,1,0,0,1,6.3153
6,"Latoya",1,0,1,1,0,1,6.3153
7,"Sarah",1,0,1,0,0,1,6.3153
5,"Tamika",0,0,1,1,0,1,6.3153
8,"Anne",0,0,1,0,0,0,6.3153
5,"Jill",1,0,1,0,0,1,6.3153
1,"Kenya",1,0,1,1,0,0,6.3153
12,"Lakisha",0,0,1,1,0,1,6.3153
6,"Jill",0,0,1,0,0,0,6.3153
8,"Keisha",0,0,1,1,0,0,6.3153
4,"Lakisha",1,0,1,1,0,0,6.3153
7,"Meredith",1,0,1,0,0,0,6.3153
3,"Aisha",0,0,1,1,0,0,6.3153
4,"Allison",0,0,1,0,0,1,6.3153
6,"Allison",0,0,1,0,0,1,6.3153
5,"Hakim",0,0,0,1,0,1,6.3153
3,"Sarah",1,0,1,0,0,0,6.3153
5,"Tamika",1,0,1,1,0,0,6.3153
12,"Aisha",1,0,1,1,0,0,6.3153
6,"Latoya",0,0,1,1,0,0,6.3153
6,"Laurie",0,0,1,0,0,1,6.3153
9,"Meredith",1,0,1,0,0,0,6.3153
8,"Aisha",1,0,1,1,1,1,5.3657
8,"Allison",1,0,1,0,1,1,5.3657
2,"Allison",1,0,1,0,1,1,5.3657
2,"Allison",1,0,1,0,1,1,5.3657
6,"Anne",0,0,1,0,1,1,5.3657
6,"Brad",1,0,0,0,1,1,5.3657
2,"Brendan",1,0,0,0,1,1,5.3657
6,"Darnell",0,0,0,1,1,1,5.3657
8,"Emily",1,0,1,0,1,1,5.3657
7,"Geoffrey",0,0,0,0,1,1,5.3657
6,"Greg",0,0,0,0,1,1,5.3657
7,"Hakim",0,0,0,1,1,1,5.3657
2,"Hakim",1,0,0,1,1,1,5.3657
10,"Jay",0,0,0,0,1,0,5.3657
8,"Jermaine",1,0,0,1,1,1,5.3657
2,"Kareem",1,0,0,1,1,1,5.3657
