game,branch,team,software,paper_game,paper,number_teammates,attendance,max_skill,min_skill,reproduction,time_reproduction,time2_reproduction,minor_errors,time_first_minor,time2_first_minor,major_errors,time_first_major,time2_first_major,good_robustness,one_good_robustness,two_good_robustness,ran_robustness,ran_one_robustness,ran_two_robustness,min_gpt,max_gpt,combined_coding,min_coding,max_coding,followup_responces,x24,game2,combined_follow,prompts,files,images,words,min_skill_num,max_skill_num,min_gpt_num,max_gpt_num,min_professor,min_postdoc,min_researcher,min_student,max_professor,max_postdoc,max_researcher,max_student,min_gpt_never,min_gpt_beginner,min_gpt_intermediate,min_gpt_advanced,max_gpt_never,max_gpt_beginner,max_gpt_intermediate,max_gpt_advanced
Sheffield,AI-Led,10.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,Virtual,Professor,Researcher,0,NA,NA,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,27,Proficient,Proficient,3,NA,Sheffield,9,0,0,0,0,2,4,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Sheffield,AI-Led,11.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,Virtual,Postdoc,Student,0,NA,NA,0,NA,NA,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Beginner,Intermediate,35,Competent,Expert,3,NA,Sheffield,11.666666666666666,0,0,0,0,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Sheffield,AI-Assisted,12.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,Virtual,Postdoc,Student,1,1899-12-31T09:39:00Z,39,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,22,Advanced Beginner,Expert,3,NA,Sheffield,7.333333333333333,25,6,0,24065,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Sheffield,AI-Assisted,13.0,Stata,Paper 2, The Heterogeneous Tax Pass-Through Under Different Vertical Relationships,2,Virtual,Professor,Postdoc,1,1899-12-31T10:15:00Z,75,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,11,Advanced Beginner,Expert,2,NA,Sheffield,5.5,7,0,0,0,3,4,2,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Sheffield,AI-Led,14.0,Stata,Paper 2, The Heterogeneous Tax Pass-Through Under Different Vertical Relationships,2,Virtual,Professor,Student,0,NA,NA,0,NA,NA,0,NA,NA,1,TRUE,FALSE,0,FALSE,FALSE,Beginner,Intermediate,14,Competent,Expert,2,NA,Sheffield,7,0,0,0,0,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Tilburg,Human-Only,2r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,2,Virtual,Student,Student,1,1899-12-31T10:18:00Z,78,1,1899-12-31T09:47:00Z,47,0,NA,NA,2,TRUE,TRUE,0,FALSE,FALSE,Beginner,Intermediate,27,Advanced Beginner,Proficient,3,NA,Tilburg,9,0,0,0,0,1,1,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
Tilburg,Human-Only,6r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,2,Virtual,Postdoc,Student,1,1899-12-31T11:12:00Z,132,1,1899-12-31T11:27:00Z,147,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,16,Competent,Expert,3,NA,Tilburg,5.333333333333333,0,0,0,0,1,3,2,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
Tilburg,AI-Assisted,5r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,3,Virtual,Postdoc,Student,1,1899-12-31T11:30:00Z,150,0,NA,NA,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Beginner,Intermediate,18,Novice,Proficient,3,NA,Tilburg,6,130,27,9,68041,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Tilburg,AI-Assisted,1r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,2,In-Person,Professor,Student,0,NA,NA,2,1899-12-31T10:06:00Z,66,2,1899-12-31T10:43:00Z,103,2,TRUE,TRUE,0,FALSE,FALSE,Beginner,Intermediate,32,Proficient,Expert,2,NA,Tilburg,16,14,4,4,9542,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Tilburg,AI-Led,3r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,3,In-Person,Student,Student,0,NA,NA,0,NA,NA,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Intermediate,Advanced,17,Competent,Competent,3,NA,Tilburg,5.666666666666667,82,18,9,51268,1,1,3,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Tilburg,AI-Led,4r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,3,In-Person,Professor,Student,0,NA,NA,0,NA,NA,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Beginner,Intermediate,20,Competent,Proficient,3,NA,Tilburg,6.666666666666667,311,0,0,97540,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Tilburg,AI-Assisted,1s,Stata,Paper 2, Examining Inequality In The Time Cost Of Waiting,3,In-Person,Professor,Professor,1,1899-12-31T10:10:00Z,70,1,1899-12-31T11:55:00Z,175,3,1899-12-31T10:30:00Z,90,2,TRUE,TRUE,2,TRUE,TRUE,Intermediate,Advanced,19,Advanced Beginner,Expert,2,NA,Tilburg,9.5,52,20,0,10580,4,4,3,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Tilburg,Human-Only,2s,Stata,Paper 2, Examining Inequality In The Time Cost Of Waiting,2,In-Person,Professor,Student,1,1899-12-31T11:20:00Z,140,0,NA,NA,3,1899-12-31T15:15:00Z,375,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,22,Advanced Beginner,Expert,3,NA,Tilburg,7.333333333333333,0,0,0,0,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Tilburg,AI-Led,3s,Stata,Paper 2, Examining Inequality In The Time Cost Of Waiting,3,Virtual,Postdoc,Student,1,1899-12-31T11:49:00Z,169,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,7,Competent,Competent,1,NA,Tilburg,7,36,12,2,15174,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Toronto,AI-Assisted,q,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,3,Virtual,Professor,Postdoc,1,1899-12-31T09:25:00Z,25,7,1899-12-31T09:36:00Z,36,1,1899-12-31T10:32:00Z,92,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,18,Competent,Proficient,3,NA,Toronto,6,0,0,0,0,3,4,2,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Toronto,Human-Only,g,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,2,Virtual,Professor,Professor,1,1899-12-31T09:26:00Z,26,3,1899-12-31T10:05:00Z,65,3,1899-12-31T10:26:00Z,86,1,TRUE,FALSE,2,TRUE,FALSE,Never,Intermediate,45,Competent,Proficient,3,NA,Toronto,15,0,0,0,0,4,4,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Toronto,Human-Only,u,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,3,Virtual,Postdoc,Student,1,1899-12-31T09:44:00Z,44,4,1899-12-31T10:38:00Z,98,1,1899-12-31T10:49:00Z,109,1,TRUE,FALSE,2,TRUE,FALSE,Never,Beginner,44,Proficient,Proficient,2,NA,Toronto,22,0,0,0,0,1,3,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
Toronto,AI-Assisted,t,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,3,Virtual,Postdoc,Student,1,1899-12-31T09:55:00Z,55,4,1899-12-31T10:17:00Z,77,2,1899-12-31T11:51:00Z,171,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,15,Advanced Beginner,Proficient,3,NA,Toronto,5,26,6,0,0,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Toronto,AI-Assisted,s,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,2,Virtual,Postdoc,Student,1,1899-12-31T10:00:00Z,60,2,1899-12-31T11:08:00Z,128,1,1899-12-31T11:30:00Z,150,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,48,Competent,Proficient,3,NA,Toronto,16,36,6,0,32581,1,3,2,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
Toronto,AI-Assisted,e,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,2,Virtual,Professor,Researcher,1,1899-12-31T10:15:00Z,75,2,1899-12-31T10:50:00Z,110,3,1899-12-31T11:35:00Z,155,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,25,Competent,Proficient,3,NA,Toronto,8.333333333333334,42,21,0,16585,2,4,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Toronto,Human-Only,f,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,2,Virtual,Researcher,Researcher,1,1899-12-31T10:30:00Z,90,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Intermediate,Advanced,23,Competent,Competent,3,NA,Toronto,7.666666666666667,0,0,0,0,2,2,3,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
Toronto,Human-Only,i,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,3,Virtual,Researcher,Student,1,1899-12-31T11:05:00Z,125,2,1899-12-31T09:32:00Z,32,6,1899-12-31T12:52:00Z,232,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,12,Proficient,Proficient,2,NA,Toronto,6,0,0,0,0,1,2,2,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Toronto,Human-Only,v,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,3,Virtual,Professor,Student,1,1899-12-31T11:25:00Z,145,6,1899-12-31T10:00:00Z,60,3,1899-12-31T11:00:00Z,120,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,8,Competent,Proficient,2,NA,Toronto,4,0,0,0,0,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Toronto,AI-Led,o,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,3,Virtual,Postdoc,Student,1,1899-12-31T11:30:00Z,150,2,1899-12-31T11:45:00Z,165,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,21,Competent,Proficient,2,NA,Toronto,10.5,0,0,0,0,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Toronto,AI-Led,p,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,2,Virtual,Student,Student,1,1899-12-31T12:04:00Z,184,3,1899-12-31T10:34:00Z,94,1,1899-12-31T11:30:00Z,150,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,20,Competent,Expert,2,NA,Toronto,10,0,0,0,0,1,1,2,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
